x	IE	Chrome	Firefox	Safari	Opera
11-Oct-13	41.62	22.36	25.58	9.13	1.22
11-Oct-14	41.95	22.15	25.78	8.79	1.25
11-Oct-15	37.64	24.77	25.96	10.16	1.39
11-Oct-16	37.27	24.65	25.98	10.59	1.44
11-Oct-17	42.74	21.87	25.01	9.12	1.17
11-Oct-18	42.14	22.22	25.26	9.1	1.19
11-Oct-19	41.92	22.42	25.3	9.07	1.21
11-Oct-20	42.41	22.08	25.28	8.94	1.18
11-Oct-21	42.74	22.23	25.19	8.5	1.25
11-Oct-22	36.95	25.45	26.03	10.06	1.42
11-Oct-23	37.52	24.73	25.79	10.46	1.43
11-Oct-24	42.69	22.14	24.95	8.98	1.15
11-Oct-25	42.31	22.26	25.1	9.04	1.2
11-Oct-26	42.22	22.28	25.17	9.08	1.16
11-Oct-27	42.62	22.36	24.98	8.8	1.15
11-Oct-28	42.76	22.36	25.05	8.55	1.19
11-Oct-29	38.92	24.36	25.34	9.99	1.3
11-Oct-30	38.06	24.58	25.63	10.26	1.39
11-Oct-31	42.1	22.45	25.18	8.97	1.2
11-Nov-1	41.05	23	25.51	9.14	1.21
11-Nov-2	41.26	23.22	25.22	9.03	1.18
11-Nov-3	41.21	23.5	24.99	9.01	1.2
11-Nov-4	41.64	23.21	25.05	8.78	1.23
11-Nov-5	37.13	25.68	25.46	10.29	1.35
11-Nov-6	35.97	25.88	25.85	10.78	1.43
11-Nov-7	41.41	23.06	24.95	9.33	1.17
